Name,Size (bytes),Type,Origin,Confidence,Priority,Inode,SHA256,MD5,Created (UTC),Modified (UTC),Accessed (UTC),Notable Reasons,Extracted Path
SanDiskSecureAccessV2_win.exe,7409688,unknown,original,high,20,9,,,2026-02-11T15:39:47.995809+00:00,2026-02-11T15:39:47.995811+00:00,,recent_modification:0d,
بحث مادة التفسير.docx,21282,unknown,original,high,20,14,,,2026-02-11T15:39:47.995824+00:00,2026-02-11T15:39:47.995825+00:00,,recent_modification:0d,
{4944f5ac-fe92-4c3c-879b-cae84db01eec}.enc,0,unknown,original,high,20,19,,,2026-02-11T15:39:47.995834+00:00,2026-02-11T15:39:47.995834+00:00,,recent_modification:0d,
System Volume Information/WPSettings.dat,12,unknown,original,high,20,519,,,2026-02-11T15:39:47.995839+00:00,2026-02-11T15:39:47.995839+00:00,,recent_modification:0d,
System Volume Information/IndexerVolumeGuid,76,unknown,original,high,20,522,,,2026-02-11T15:39:47.995842+00:00,2026-02-11T15:39:47.995842+00:00,,recent_modification:0d,
المستوى الاحداثي.gif,369799,unknown,original,high,20,25,,,2026-02-11T15:39:47.995846+00:00,2026-02-11T15:39:47.995846+00:00,,recent_modification:0d,
ReadyBoostPerfTest.tmp,8388608,unknown,original,high,20,30,,,2026-02-11T15:39:47.995850+00:00,2026-02-11T15:39:47.995850+00:00,,recent_modification:0d,
يومية العمال 2.xlsx,12954,unknown,original,high,20,43,,,2026-02-11T15:39:47.995853+00:00,2026-02-11T15:39:47.995853+00:00,,recent_modification:0d,
نص 7.txt,96,unknown,original,high,20,46,,,2026-02-11T15:39:47.995856+00:00,2026-02-11T15:39:47.995856+00:00,,recent_modification:0d,
نص 8.txt,289,unknown,original,high,20,48,,,2026-02-11T15:39:47.995859+00:00,2026-02-11T15:39:47.995859+00:00,,recent_modification:0d,
نص 9.txt,72,unknown,original,high,20,50,,,2026-02-11T15:39:47.995861+00:00,2026-02-11T15:39:47.995862+00:00,,recent_modification:0d,
نص 10.txt,143,unknown,original,high,20,52,,,2026-02-11T15:39:47.995864+00:00,2026-02-11T15:39:47.995864+00:00,,recent_modification:0d,
نص 11.txt,94,unknown,original,high,20,54,,,2026-02-11T15:39:47.995867+00:00,2026-02-11T15:39:47.995867+00:00,,recent_modification:0d,
نص 12.txt,105,unknown,original,high,20,56,,,2026-02-11T15:39:47.995870+00:00,2026-02-11T15:39:47.995870+00:00,,recent_modification:0d,
نص 13.txt,201,unknown,original,high,20,58,,,2026-02-11T15:39:47.995872+00:00,2026-02-11T15:39:47.995872+00:00,,recent_modification:0d,
نص 14.txt,76,unknown,original,high,20,60,,,2026-02-11T15:39:47.995874+00:00,2026-02-11T15:39:47.995875+00:00,,recent_modification:0d,
نص 15.txt,66,unknown,original,high,20,62,,,2026-02-11T15:39:47.995877+00:00,2026-02-11T15:39:47.995877+00:00,,recent_modification:0d,
نص 16.txt,47,unknown,original,high,20,64,,,2026-02-11T15:39:47.995879+00:00,2026-02-11T15:39:47.995879+00:00,,recent_modification:0d,
نص 17.txt,268,unknown,original,high,20,66,,,2026-02-11T15:39:47.995882+00:00,2026-02-11T15:39:47.995882+00:00,,recent_modification:0d,
نص 18.txt,104,unknown,original,high,20,68,,,2026-02-11T15:39:47.995884+00:00,2026-02-11T15:39:47.995884+00:00,,recent_modification:0d,
نص 19.txt,48,unknown,original,high,20,70,,,2026-02-11T15:39:47.995886+00:00,2026-02-11T15:39:47.995886+00:00,,recent_modification:0d,
نص 20.txt,81,unknown,original,high,20,72,,,2026-02-11T15:39:47.995888+00:00,2026-02-11T15:39:47.995889+00:00,,recent_modification:0d,
نص 21.txt,68,unknown,original,high,20,74,,,2026-02-11T15:39:47.995891+00:00,2026-02-11T15:39:47.995891+00:00,,recent_modification:0d,
نص 22.txt,94,unknown,original,high,20,76,,,2026-02-11T15:39:47.995893+00:00,2026-02-11T15:39:47.995893+00:00,,recent_modification:0d,
نص 23.txt,33,unknown,original,high,20,78,,,2026-02-11T15:39:47.995895+00:00,2026-02-11T15:39:47.995895+00:00,,recent_modification:0d,
نص 24.txt,78,unknown,original,high,20,80,,,2026-02-11T15:39:47.995897+00:00,2026-02-11T15:39:47.995897+00:00,,recent_modification:0d,
نص 25.txt,101,unknown,original,high,20,82,,,2026-02-11T15:39:47.995900+00:00,2026-02-11T15:39:47.995900+00:00,,recent_modification:0d,
نص 26.txt,55,unknown,original,high,20,84,,,2026-02-11T15:39:47.995902+00:00,2026-02-11T15:39:47.995902+00:00,,recent_modification:0d,
نص 27.txt,33,unknown,original,high,20,86,,,2026-02-11T15:39:47.995904+00:00,2026-02-11T15:39:47.995904+00:00,,recent_modification:0d,
نص 28.txt,112,unknown,original,high,20,88,,,2026-02-11T15:39:47.995907+00:00,2026-02-11T15:39:47.995907+00:00,,recent_modification:0d,
نص 29.txt,68,unknown,original,high,20,90,,,2026-02-11T15:39:47.995909+00:00,2026-02-11T15:39:47.995909+00:00,,recent_modification:0d,
نص 30.txt,27,unknown,original,high,20,92,,,2026-02-11T15:39:47.995911+00:00,2026-02-11T15:39:47.995911+00:00,,recent_modification:0d,
