Timestamp,Type,Artifact,Details,Log ID
2025-11-25T15:28:13.257472Z,Rule Firing,SanDiskSecureAccessV2_win.exe,"Score: 95, Severity: critical, Rules: 1",09c8ee54a32b89e9
2025-11-25T15:28:13.259482Z,Rule Firing,حل أسئلة الدراسات الاجتماعية والوطنية 2م ف1 طالب.pdf,"Score: 95, Severity: critical, Rules: 1",84b8dcfa343a69c6
2025-11-25T15:28:13.265145Z,Rule Firing,حل أسئلة الدراسات الاجتماعية والوطنية 2م ف1 نشاط.pdf,"Score: 95, Severity: critical, Rules: 1",9b872aaba5915384
2025-11-25T15:28:13.266181Z,Rule Firing,بحث مادة التفسير.docx,"Score: 95, Severity: critical, Rules: 1",862526fdf849d81f
2025-11-25T15:28:13.267180Z,Rule Firing,{4944f5ac-fe92-4c3c-879b-cae84db01eec}.enc,"Score: 30, Severity: low, Rules: 1",c3a76df46f909adc
2025-11-25T15:28:13.267180Z,Rule Firing,المستوى الاحداثي.gif,"Score: 95, Severity: critical, Rules: 1",88e8478d88a35099
2025-11-25T15:28:13.268189Z,Rule Firing,This is NOT a virus (README).txt,"Score: 75, Severity: high, Rules: 1",c92737c36f9f23b0
2025-11-25T15:28:13.270648Z,Rule Firing,Icon.ico,"Score: 75, Severity: high, Rules: 1",49327bc29ea6a0b3
2025-11-25T15:28:13.271649Z,Rule Firing,desktop.ini,"Score: 75, Severity: high, Rules: 1",edda09f004b63e32
2025-11-25T15:28:13.274675Z,Rule Firing,Inkscape-0.92.1-1.exe,"Score: 95, Severity: critical, Rules: 1",8baf85d3030bd563
2025-11-25T15:28:13.276210Z,Rule Firing,Inkscape-0.92.1.msi,"Score: 95, Severity: critical, Rules: 1",abcc749d1c97bfa5
2025-11-25T15:28:13.277195Z,Rule Firing,InkscapePortable_0.92.1.paf.exe,"Score: 95, Severity: critical, Rules: 1",85c82953c6c83598
2025-11-25T15:28:13.277195Z,Rule Firing,Inkscape-0.92.1-x64-1.exe,"Score: 95, Severity: critical, Rules: 1",4dcd38842585dfbd
2025-11-25T15:28:13.278195Z,Rule Firing,Inkscape-0.92.1-x64.msi,"Score: 95, Severity: critical, Rules: 1",7985d5e4f9d909dc
2025-11-25T15:28:13.279195Z,Rule Firing,يومية العمال 2.xlsx,"Score: 95, Severity: critical, Rules: 1",929e1ec3c0c73bbf
2025-11-25T15:28:13.280196Z,Rule Firing,نص 7.txt,"Score: 95, Severity: critical, Rules: 1",588a3a4cd16b8c8d
2025-11-25T15:28:13.281703Z,Rule Firing,نص 8.txt,"Score: 95, Severity: critical, Rules: 1",d8dc7c32b7b3f752
2025-11-25T15:28:13.282716Z,Rule Firing,نص 9.txt,"Score: 95, Severity: critical, Rules: 1",7c17fcc851c39fee
